test_name,elapsed_time,compile_time,exec_time
blake2b-5610-bytes,0.11887097358703613,0.022226,0.000128
blake2b-5610-bytes,0.10876178741455078,0.015476,3.5e-05
blake2b-5610-bytes,0.10694241523742676,0.01987,3.6e-05
blake2b-5610-bytes,0.10233521461486816,0.017117,4.5e-05
blake2b-5610-bytes,0.12146353721618652,0.02589,5e-05
blake2b-5610-bytes,0.1158757209777832,0.01645,3.3e-05
blake2b-5610-bytes,0.10988831520080566,0.017841,4.3e-05
blake2b-5610-bytes,0.09812402725219727,0.012922,3.4e-05
blake2b-5610-bytes,0.10327339172363281,0.01766,4.1e-05
blake2b-5610-bytes,0.10137248039245605,0.01696,3.4e-05
blake2b-5610-bytes,0.09955906867980957,0.016226,4.3e-05
blake2b-5610-bytes,0.11117243766784668,0.018062,3.4e-05
blake2b-5610-bytes,0.09695792198181152,0.013554,3.4e-05
blake2b-5610-bytes,0.10491633415222168,0.020284,4.5e-05
blake2b-5610-bytes,0.10844635963439941,0.016737,4e-05
blake2b-5610-bytes,0.11987829208374023,0.022928,4.6e-05
blake2b-5610-bytes,0.10971808433532715,0.017775,8.1e-05
blake2b-5610-bytes,0.09963083267211914,0.018643,4.2e-05
blake2b-5610-bytes,0.09356999397277832,0.01298,3.2e-05
blake2b-5610-bytes,0.10216856002807617,0.018058,3.4e-05
blake2b-5610-bytes,0.10833311080932617,0.020104,3.7e-05
blake2b-5610-bytes,0.09785032272338867,0.012774,3.5e-05
blake2b-5610-bytes,0.1004035472869873,0.019503,3.4e-05
blake2b-5610-bytes,0.10995626449584961,0.020868,4.6e-05
blake2b-5610-bytes,0.10669422149658203,0.014869,3.4e-05
blake2b-5610-bytes,0.10263299942016602,0.020602,3.5e-05
blake2b-5610-bytes,0.09726262092590332,0.013625,3.4e-05
blake2b-5610-bytes,0.09676980972290039,0.015884,3.1e-05
blake2b-5610-bytes,0.09792828559875488,0.014141,7.4e-05
blake2b-5610-bytes,0.09542679786682129,0.011999,3.4e-05
blake2b-5610-bytes,0.09324002265930176,0.010649,3.1e-05
blake2b-5610-bytes,0.09298300743103027,0.011013,3e-05
blake2b-5610-bytes,0.09214138984680176,0.010347,2.7e-05
blake2b-5610-bytes,0.10016489028930664,0.01147,4.3e-05
blake2b-5610-bytes,0.11658716201782227,0.020646,4.2e-05
blake2b-5610-bytes,0.11303877830505371,0.020971,4.1e-05
blake2b-5610-bytes,0.09775328636169434,0.017803,3.5e-05
